default,Identifier,Remarks,pt,ru
No active enemies,AAS_EVENT_group_kill,,Sem mais inimigos ativos (abate em grupo),
New active enemies,AAS_EVENT_group_alert,,Novos inimigos ativos (alerta de grupo),
Boss alerted,AAS_EVENT_boss_alert,,O chefão foi alertado,
All items found,AAS_EVENT_all_items_found,,Todos os ítens foram descobertos,
Time passed,AAS_EVENT_time_period,,Tempo movido,
Moved to another place,AAS_EVENT_teleport,,Você foi movido para outro lugar,
Manual save,AAS_EVENT_manual,,Save manual,
Something important!,AAS_EVENT_important,,Algo importante!,
Level started,AAS_EVENT_level_start,,Nível começado,
Last health percent!,AAS_EVENT_one_percent,,Sua vida caiu para 1%,
Enemies 10% down,AAS_EVENT_enemies_10,,Inimigos 10% mortos,
Enemies 20% down,AAS_EVENT_enemies_20,,Inimigos 20% mortos,
Enemies 30% down,AAS_EVENT_enemies_30,,Inimigos 30% mortos,
Enemies 40% down,AAS_EVENT_enemies_40,,Inimigos 40% mortos,
Enemies 50% down,AAS_EVENT_enemies_50,,Inimigos 50% mortos,
Enemies 60% down,AAS_EVENT_enemies_60,,Inimigos 60% mortos,
Enemies 70% down,AAS_EVENT_enemies_70,,Inimigos 70% mortos,
Enemies 80% down,AAS_EVENT_enemies_80,,Inimigos 80% mortos,
Enemies 90% down,AAS_EVENT_enemies_90,,Inimigos 90% mortos,
Health low,AAS_EVENT_health_drop,,Sua vida caiu baixo,
Health high,AAS_EVENT_health_rise,,Sua vida subiu alto,
Armor low,AAS_EVENT_armor_drop,,Sua armadura caiu baixo,
Armor high,AAS_EVENT_armor_rise,,Sua armadura subiu alto,
Secret found,AAS_EVENT_secret_found,,Um segredo foi encontrado,
Powerup found,AAS_EVENT_powerup,,Um poder foi encontrado,
Weapon found,AAS_EVENT_weapon,,Uma arma foi encontrada,
Key found,AAS_EVENT_key,,Uma chave foi encontrada,
Backpack found,AAS_EVENT_backpack,,Uma mochila foi encontrada,
New armor,AAS_EVENT_new_armor,,Novo tipo de armadura,
Major healing,AAS_EVENT_big_heal,,Grande cura,
Armor found,AAS_EVENT_armor,,Armadura foi encontrada,
